monthly_income,debt_monthly,loan_amount,years_in_business,duration_months,sector,debt_to_income,loan_to_income,defaulted
360705.0,126638.0,892605.0,3.2,24,1,0.3511,2.4746,0
290339.0,40476.0,284880.0,0.5,36,2,0.1394,0.9812,0
800000.0,42960.0,931223.0,0.6,6,3,0.0537,1.164,0
438253.0,166842.0,2354493.0,0.7,24,1,0.3807,5.3724,0
210998.0,58957.0,401550.0,0.8,12,1,0.2794,1.9031,0
786841.0,241317.0,462369.0,0.8,6,1,0.3067,0.5876,0
188228.0,64568.0,476389.0,1.5,18,3,0.343,2.5309,1
512064.0,243801.0,788588.0,3.2,18,2,0.4761,1.54,0
112222.0,28669.0,385454.0,1.7,6,1,0.2555,3.4348,0
174603.0,87511.0,939167.0,4.5,12,1,0.5012,5.3789,1
507780.0,78201.0,1212390.0,3.8,60,0,0.154,2.3876,0
741868.0,46910.0,1005111.0,0.5,18,0,0.0632,1.3548,0
498799.0,223634.0,252446.0,0.5,48,1,0.4483,0.5061,1
408010.0,44871.0,1325235.0,6.3,12,1,0.11,3.248,0
358336.0,107430.0,1280064.0,0.5,36,3,0.2998,3.5722,0
157162.0,84287.0,1200318.0,0.5,24,1,0.5363,7.6374,1
267295.0,17923.0,912283.0,0.5,60,4,0.0671,3.413,0
320473.0,108109.0,832438.0,3.0,60,0,0.3373,2.5975,0
800000.0,49310.0,1355165.0,2.6,6,4,0.0616,1.694,0
562717.0,150195.0,2313121.0,13.0,24,0,0.2669,4.1106,0
128781.0,1891.0,411752.0,6.5,36,2,0.0147,3.1973,0
555075.0,51574.0,1392868.0,1.6,18,1,0.0929,2.5093,0
337879.0,54765.0,692643.0,1.4,60,1,0.1621,2.05,0
275448.0,15312.0,674817.0,1.1,48,0,0.0556,2.4499,0
678862.0,246341.0,290129.0,0.5,12,0,0.3629,0.4274,0
800000.0,260948.0,614846.0,0.5,60,2,0.3262,0.7686,0
800000.0,441341.0,400970.0,0.5,60,1,0.5517,0.5012,0
245867.0,27025.0,552212.0,0.5,12,4,0.1099,2.246,0
356308.0,77385.0,377410.0,0.8,36,1,0.2172,1.0592,0
557872.0,43637.0,557186.0,1.1,6,4,0.0782,0.9988,0
800000.0,141415.0,571679.0,9.8,60,0,0.1768,0.7146,0
316342.0,188362.0,773014.0,2.6,60,0,0.5954,2.4436,0
388496.0,154300.0,276828.0,13.2,24,1,0.3972,0.7126,0
203937.0,21529.0,306413.0,1.4,48,3,0.1056,1.5025,0
191502.0,5972.0,906321.0,1.8,18,1,0.0312,4.7327,0
781342.0,21845.0,452045.0,1.2,6,0,0.028,0.5785,0
800000.0,294381.0,1389866.0,0.6,48,0,0.368,1.7373,0
420665.0,66940.0,834979.0,0.5,48,1,0.1591,1.9849,0
800000.0,590470.0,1049744.0,8.7,36,2,0.7381,1.3122,0
569860.0,138874.0,1700470.0,13.0,36,1,0.2437,2.984,0
281649.0,48156.0,605720.0,0.5,12,2,0.171,2.1506,0
569764.0,45994.0,516747.0,0.5,18,2,0.0807,0.9069,0
800000.0,358223.0,1230611.0,1.7,6,3,0.4478,1.5383,0
431456.0,85149.0,990245.0,0.6,12,1,0.1974,2.2951,0
800000.0,209178.0,651871.0,1.4,60,1,0.2615,0.8148,0
70698.0,19738.0,1680959.0,0.5,18,4,0.2792,23.7765,1
786487.0,196029.0,642199.0,1.8,24,1,0.2492,0.8165,0
470209.0,182818.0,743902.0,1.0,24,1,0.3888,1.5821,0
358863.0,32237.0,738764.0,1.3,12,3,0.0898,2.0586,0
471763.0,112918.0,416334.0,0.5,6,0,0.2394,0.8825,0
110051.0,22060.0,764174.0,1.7,18,1,0.2005,6.9438,0
379356.0,152120.0,1686315.0,12.3,24,0,0.401,4.4452,0
568058.0,265530.0,952629.0,1.2,24,0,0.4674,1.677,0
800000.0,102333.0,743139.0,6.3,6,0,0.1279,0.9289,0
307802.0,124270.0,661946.0,5.6,12,0,0.4037,2.1506,0
251213.0,22480.0,889594.0,9.1,36,1,0.0895,3.5412,0
311380.0,77165.0,1143792.0,4.7,60,3,0.2478,3.6733,0
800000.0,211594.0,1051306.0,3.2,48,2,0.2645,1.3141,0
556892.0,253382.0,597722.0,5.8,60,2,0.455,1.0733,0
305336.0,118931.0,886352.0,0.5,18,1,0.3895,2.9029,0
633672.0,61581.0,972829.0,1.9,24,3,0.0972,1.5352,0
473522.0,181311.0,398588.0,13.6,48,3,0.3829,0.8418,0
800000.0,238271.0,806887.0,4.4,48,3,0.2978,1.0086,0
270645.0,159788.0,199430.0,9.8,36,3,0.5904,0.7369,0
351736.0,61940.0,974345.0,4.5,48,0,0.1761,2.7701,0
336221.0,72090.0,1084041.0,6.2,6,2,0.2144,3.2242,0
158822.0,98544.0,1142270.0,3.7,12,2,0.6205,7.1921,1
544315.0,265209.0,575487.0,4.3,18,1,0.4872,1.0573,0
531118.0,51097.0,878023.0,2.2,6,1,0.0962,1.6532,0
444000.0,110847.0,1714055.0,7.7,12,0,0.2497,3.8605,0
375416.0,128106.0,1703613.0,5.2,6,0,0.3412,4.5379,0
164266.0,65857.0,716760.0,5.6,24,4,0.4009,4.3634,1
329571.0,38868.0,793011.0,3.4,24,2,0.1179,2.4062,0
348049.0,193959.0,1420539.0,1.1,36,0,0.5573,4.0814,0
252308.0,15881.0,296416.0,0.5,6,0,0.0629,1.1748,0
395181.0,48588.0,600882.0,8.2,60,2,0.123,1.5205,0
587033.0,311302.0,1625526.0,2.6,48,1,0.5303,2.7691,0
800000.0,216800.0,1309453.0,1.1,24,1,0.271,1.6368,0
499921.0,138522.0,910326.0,0.5,12,0,0.2771,1.8209,0
529816.0,159572.0,295523.0,5.3,36,0,0.3012,0.5578,0
419949.0,58856.0,707897.0,5.4,48,1,0.1401,1.6857,0
115481.0,8515.0,511985.0,5.1,18,2,0.0737,4.4335,0
434278.0,142945.0,889686.0,3.1,6,0,0.3292,2.0487,0
461465.0,166021.0,448827.0,1.4,60,1,0.3598,0.9726,0
800000.0,247822.0,394181.0,1.1,24,2,0.3098,0.4927,0
386678.0,69738.0,211310.0,0.5,60,3,0.1804,0.5465,0
546387.0,60372.0,1518271.0,5.4,48,0,0.1105,2.7787,0
431793.0,97953.0,573858.0,0.5,12,2,0.2269,1.329,0
195228.0,124733.0,801538.0,3.0,6,4,0.6389,4.1056,1
800000.0,194511.0,728438.0,2.1,60,4,0.2431,0.9105,0
748894.0,161737.0,384439.0,2.2,12,3,0.216,0.5133,0
769674.0,191308.0,342683.0,7.8,36,2,0.2486,0.4452,0
234082.0,55588.0,399038.0,0.5,24,0,0.2375,1.7047,0
800000.0,425543.0,472645.0,4.5,24,2,0.5319,0.5908,0
165828.0,64746.0,908876.0,0.5,36,2,0.3904,5.4808,1
667170.0,113244.0,452512.0,0.5,12,1,0.1697,0.6783,0
800000.0,163221.0,2080033.0,1.7,60,1,0.204,2.6,0
221156.0,56379.0,1350912.0,0.5,6,2,0.2549,6.1084,1
297626.0,86032.0,1184718.0,4.7,12,4,0.2891,3.9806,0
474376.0,66787.0,678883.0,2.3,6,0,0.1408,1.4311,0
311006.0,58615.0,1809513.0,0.5,48,0,0.1885,5.8183,0
149423.0,84454.0,639983.0,0.5,36,2,0.5652,4.283,1
464164.0,252570.0,715862.0,2.8,18,0,0.5441,1.5423,0
210320.0,43641.0,807731.0,4.9,6,2,0.2075,3.8405,0
616316.0,119439.0,1111359.0,1.7,24,0,0.1938,1.8032,0
232444.0,91057.0,1068904.0,2.4,48,1,0.3917,4.5986,0
800000.0,43923.0,548490.0,4.8,24,2,0.0549,0.6856,0
255690.0,131220.0,529773.0,2.8,48,0,0.5132,2.0719,0
353118.0,59329.0,1070827.0,0.8,24,0,0.168,3.0325,0
781884.0,273538.0,1120339.0,2.8,12,1,0.3498,1.4329,0
186912.0,12095.0,576073.0,3.0,60,1,0.0647,3.082,0
518773.0,207099.0,281444.0,4.0,12,2,0.3992,0.5425,0
800000.0,288166.0,644101.0,2.9,12,1,0.3602,0.8051,0
143596.0,48366.0,1060356.0,10.4,60,1,0.3368,7.3843,1
503452.0,63268.0,2154890.0,0.7,48,1,0.1257,4.2802,0
530682.0,99103.0,355480.0,9.1,48,0,0.1867,0.6699,0
764728.0,236343.0,564704.0,2.3,60,3,0.3091,0.7384,0
186118.0,29984.0,577439.0,3.3,24,0,0.1611,3.1025,0
175550.0,27389.0,1645382.0,0.5,6,3,0.156,9.3727,1
637532.0,311863.0,714283.0,1.4,48,1,0.4892,1.1204,0
544645.0,22110.0,423202.0,4.4,24,1,0.0406,0.777,0
527205.0,264293.0,1019902.0,3.7,6,2,0.5013,1.9345,0
563833.0,70750.0,572185.0,0.5,60,3,0.1255,1.0148,0
274851.0,103983.0,349888.0,2.4,12,4,0.3783,1.273,0
520517.0,167717.0,426913.0,0.5,48,1,0.3222,0.8202,0
543155.0,65919.0,2064555.0,16.5,18,0,0.1214,3.801,0
268325.0,44211.0,918526.0,6.8,12,3,0.1648,3.4232,0
800000.0,336855.0,778136.0,0.5,36,0,0.4211,0.9727,0
616420.0,137502.0,627855.0,5.9,6,3,0.2231,1.0186,0
192161.0,143648.0,869166.0,7.6,18,2,0.7475,4.5231,1
700527.0,123666.0,862975.0,1.3,12,4,0.1765,1.2319,0
223624.0,37882.0,869176.0,3.8,48,3,0.1694,3.8868,0
767550.0,77704.0,781450.0,1.8,18,0,0.1012,1.0181,0
800000.0,124176.0,1228469.0,3.2,24,2,0.1552,1.5356,0
249078.0,62686.0,739598.0,1.2,6,0,0.2517,2.9693,0
800000.0,559075.0,405646.0,1.2,36,0,0.6988,0.5071,0
590631.0,96200.0,505117.0,1.7,24,1,0.1629,0.8552,0
786574.0,28207.0,222479.0,0.5,18,0,0.0359,0.2828,0
800000.0,149514.0,2461029.0,5.3,12,2,0.1869,3.0763,0
372588.0,104406.0,1224022.0,1.3,6,4,0.2802,3.2852,0
261028.0,131555.0,443280.0,1.5,48,2,0.504,1.6982,0
237362.0,68962.0,615933.0,6.7,36,0,0.2905,2.5949,0
249929.0,53411.0,497760.0,2.1,12,3,0.2137,1.9916,0
419169.0,73021.0,1840464.0,2.4,36,3,0.1742,4.3907,0
561747.0,224247.0,311163.0,9.4,48,2,0.3992,0.5539,0
536963.0,142795.0,781277.0,6.5,60,2,0.2659,1.455,0
789400.0,317370.0,683433.0,0.6,6,3,0.402,0.8658,0
446458.0,47059.0,1197927.0,1.9,18,0,0.1054,2.6832,0
800000.0,151698.0,685288.0,10.7,36,4,0.1896,0.8566,0
367596.0,130435.0,253996.0,1.4,6,4,0.3548,0.691,0
800000.0,62814.0,627394.0,1.4,36,3,0.0785,0.7842,0
685543.0,84668.0,407055.0,0.7,12,0,0.1235,0.5938,0
242799.0,58606.0,765089.0,0.5,36,3,0.2414,3.1511,0
209060.0,98019.0,1724601.0,4.0,60,1,0.4689,8.2493,0
620159.0,340571.0,256875.0,4.4,12,2,0.5492,0.4142,0
378350.0,49975.0,451290.0,10.4,12,3,0.1321,1.1928,0
729271.0,218006.0,523548.0,4.5,6,0,0.2989,0.7179,0
616163.0,317127.0,580138.0,0.8,24,1,0.5147,0.9415,0
420424.0,168547.0,1137195.0,0.5,48,3,0.4009,2.7049,0
244567.0,69512.0,657285.0,12.7,36,3,0.2842,2.6875,0
153216.0,48653.0,936104.0,1.2,18,3,0.3175,6.1097,0
323657.0,44821.0,501088.0,1.1,12,0,0.1385,1.5482,0
800000.0,160777.0,837314.0,7.1,24,2,0.201,1.0466,0
513942.0,124317.0,1163192.0,2.6,12,0,0.2419,2.2633,0
184976.0,42463.0,470062.0,0.7,24,3,0.2296,2.5412,0
499432.0,107721.0,1165680.0,6.6,24,0,0.2157,2.334,0
579385.0,71328.0,752701.0,15.0,18,2,0.1231,1.2991,0
238303.0,122979.0,1365834.0,0.5,24,1,0.5161,5.7315,1
492676.0,129236.0,646383.0,5.9,18,4,0.2623,1.312,0
460812.0,106445.0,916894.0,1.5,6,2,0.231,1.9897,0
198773.0,19073.0,711860.0,2.2,12,2,0.096,3.5813,0
568326.0,193432.0,688501.0,7.4,18,1,0.3404,1.2115,0
655104.0,102816.0,852014.0,10.9,48,2,0.1569,1.3006,0
800000.0,129602.0,1006596.0,0.9,60,1,0.162,1.2582,0
800000.0,155679.0,344642.0,0.7,12,0,0.1946,0.4308,0
168659.0,65592.0,1724039.0,0.5,60,2,0.3889,10.2221,1
229469.0,74350.0,238996.0,2.5,48,3,0.324,1.0415,0
634457.0,36139.0,483648.0,0.5,36,0,0.057,0.7623,0
633902.0,321290.0,689305.0,1.6,48,0,0.5068,1.0874,0
634462.0,193126.0,934170.0,0.5,6,2,0.3044,1.4724,0
800000.0,237796.0,1877973.0,1.6,36,3,0.2972,2.3475,0
659755.0,90192.0,239193.0,0.5,36,0,0.1367,0.3625,0
800000.0,359312.0,537876.0,5.4,24,4,0.4491,0.6723,0
800000.0,201452.0,203597.0,0.7,48,4,0.2518,0.2545,0
698000.0,118321.0,743388.0,1.2,24,0,0.1695,1.065,0
354801.0,28436.0,858559.0,6.1,48,0,0.0801,2.4198,0
752592.0,175006.0,1894523.0,4.1,36,2,0.2325,2.5173,0
257564.0,124703.0,784170.0,0.7,24,4,0.4842,3.0446,1
374830.0,63468.0,1364659.0,0.5,60,2,0.1693,3.6407,0
314974.0,23553.0,1035404.0,3.8,12,1,0.0748,3.2873,0
468510.0,86788.0,561772.0,1.5,48,0,0.1852,1.1991,0
800000.0,134371.0,313208.0,4.4,48,1,0.168,0.3915,0
119720.0,33083.0,860270.0,1.8,24,2,0.2763,7.1857,0
715246.0,93682.0,297967.0,1.3,48,1,0.131,0.4166,0
143071.0,22069.0,1586632.0,1.8,36,1,0.1543,11.0898,0
317949.0,28595.0,661829.0,4.1,24,0,0.0899,2.0816,0
800000.0,277247.0,1494207.0,7.0,24,1,0.3466,1.8678,0
462775.0,76353.0,546818.0,0.5,18,0,0.165,1.1816,0
208059.0,30260.0,857101.0,2.2,60,0,0.1454,4.1195,0
268146.0,120978.0,827041.0,0.5,60,3,0.4512,3.0843,1
711918.0,376752.0,709967.0,1.9,18,0,0.5292,0.9973,0
265334.0,100078.0,562645.0,6.5,36,2,0.3772,2.1205,0
514793.0,256221.0,923082.0,1.3,12,0,0.4977,1.7931,0
456754.0,193291.0,418446.0,8.1,48,0,0.4232,0.9161,0
280374.0,60935.0,353041.0,3.0,6,1,0.2173,1.2592,0
800000.0,84398.0,1537543.0,8.2,48,0,0.1055,1.9219,0
689515.0,122124.0,1128388.0,4.2,6,0,0.1771,1.6365,0
107194.0,16723.0,758831.0,0.5,60,3,0.156,7.079,0
504094.0,180618.0,1980947.0,0.8,36,0,0.3583,3.9297,0
278382.0,66314.0,621158.0,1.5,12,0,0.2382,2.2313,0
800000.0,35550.0,1613025.0,0.6,12,3,0.0444,2.0163,0
254037.0,45075.0,810450.0,2.0,12,0,0.1774,3.1903,0
408270.0,33090.0,394411.0,1.9,18,2,0.0811,0.9661,0
630010.0,146956.0,2210710.0,9.4,36,0,0.2333,3.509,0
800000.0,365042.0,1321696.0,1.7,6,0,0.4563,1.6521,0
190955.0,21195.0,678329.0,4.6,12,2,0.111,3.5523,0
350056.0,183467.0,1128390.0,8.5,36,4,0.5241,3.2235,1
317279.0,79145.0,572506.0,6.3,48,0,0.2494,1.8044,0
280035.0,100157.0,1199589.0,0.7,6,1,0.3577,4.2837,1
800000.0,112899.0,173747.0,2.1,60,0,0.1411,0.2172,0
587415.0,150507.0,395584.0,1.3,18,0,0.2562,0.6734,0
183026.0,95902.0,1312646.0,1.5,24,4,0.524,7.1719,1
800000.0,385560.0,627944.0,1.3,6,0,0.4819,0.7849,0
800000.0,211172.0,826145.0,5.3,60,3,0.264,1.0327,0
800000.0,178811.0,325113.0,1.8,60,0,0.2235,0.4064,0
152732.0,42219.0,2210480.0,2.2,60,3,0.2764,14.4729,1
315223.0,101227.0,1490046.0,12.1,48,1,0.3211,4.727,0
800000.0,445926.0,646668.0,0.5,6,3,0.5574,0.8083,0
269583.0,43723.0,572165.0,2.0,6,0,0.1622,2.1224,0
603604.0,93442.0,1352902.0,4.5,24,3,0.1548,2.2414,0
760890.0,159485.0,2396410.0,0.5,12,2,0.2096,3.1495,0
231225.0,24710.0,1292716.0,2.8,48,1,0.1069,5.5907,0
424358.0,154644.0,2684706.0,0.8,60,3,0.3644,6.3265,0
50000.0,3493.0,419404.0,6.1,24,2,0.0699,8.3881,1
215977.0,124241.0,446131.0,1.2,6,3,0.5753,2.0656,0
370720.0,104414.0,357409.0,1.2,48,1,0.2817,0.9641,0
184712.0,70087.0,950798.0,2.7,18,2,0.3794,5.1475,0
800000.0,36528.0,810464.0,0.6,6,3,0.0457,1.0131,0
162576.0,63525.0,665856.0,1.0,18,0,0.3907,4.0957,0
325126.0,105960.0,1185358.0,1.6,36,1,0.3259,3.6458,0
484813.0,167301.0,1527888.0,1.3,18,4,0.3451,3.1515,0
800000.0,189611.0,292027.0,2.2,6,1,0.237,0.365,0
161926.0,68714.0,509822.0,2.7,24,0,0.4244,3.1485,0
800000.0,103050.0,1193125.0,2.5,6,1,0.1288,1.4914,0
445594.0,147007.0,550927.0,3.2,6,3,0.3299,1.2364,0
222558.0,14857.0,451837.0,1.1,36,4,0.0668,2.0302,0
611379.0,64629.0,1343948.0,0.5,60,4,0.1057,2.1982,0
508562.0,272487.0,336482.0,4.3,12,2,0.5358,0.6616,0
290642.0,46378.0,608683.0,5.7,6,1,0.1596,2.0943,0
464567.0,57086.0,888408.0,0.9,36,0,0.1229,1.9123,0
337824.0,104711.0,516953.0,1.6,24,0,0.31,1.5302,0
479003.0,239824.0,1166938.0,2.1,36,0,0.5007,2.4362,0
703267.0,135402.0,518489.0,2.3,36,0,0.1925,0.7373,0
800000.0,543851.0,1698357.0,3.2,18,3,0.6798,2.1229,0
186005.0,30841.0,676408.0,0.5,12,3,0.1658,3.6365,0
800000.0,356261.0,1091171.0,3.8,12,2,0.4453,1.364,0
112819.0,32391.0,1141227.0,0.5,48,4,0.2871,10.1156,1
397818.0,81613.0,500557.0,1.9,60,4,0.2052,1.2583,0
667852.0,238389.0,212757.0,5.3,24,2,0.3569,0.3186,0
538582.0,46967.0,905691.0,1.8,48,1,0.0872,1.6816,0
286104.0,68067.0,761749.0,0.5,60,0,0.2379,2.6625,0
382435.0,81302.0,1018148.0,12.6,60,1,0.2126,2.6623,0
313295.0,105908.0,636719.0,6.6,36,0,0.338,2.0323,0
292858.0,85083.0,563399.0,4.4,24,1,0.2905,1.9238,0
800000.0,278335.0,2434091.0,1.6,60,4,0.3479,3.0426,0
568019.0,239818.0,301519.0,0.6,24,1,0.4222,0.5308,0
272383.0,66052.0,1132990.0,8.5,12,0,0.2425,4.1596,0
800000.0,241981.0,516711.0,2.3,12,2,0.3025,0.6459,0
548592.0,311904.0,596320.0,5.7,12,2,0.5686,1.087,0
781526.0,229716.0,603040.0,1.3,6,0,0.2939,0.7716,0
687447.0,163049.0,450422.0,1.2,36,0,0.2372,0.6552,0
247633.0,107683.0,1027598.0,12.7,24,4,0.4348,4.1497,0
298903.0,74028.0,1680137.0,2.2,36,0,0.2477,5.621,0
746466.0,441554.0,967053.0,0.5,60,3,0.5915,1.2955,0
678242.0,335148.0,776094.0,0.7,24,1,0.4941,1.1443,0
435988.0,84037.0,403582.0,2.0,24,1,0.1928,0.9257,0
480282.0,103601.0,994599.0,0.5,48,0,0.2157,2.0709,0
800000.0,363862.0,2659928.0,1.9,24,3,0.4548,3.3249,0
292406.0,126329.0,580464.0,1.6,24,3,0.432,1.9851,0
648857.0,306740.0,582107.0,4.5,18,0,0.4727,0.8971,0
384026.0,97503.0,520917.0,1.3,18,0,0.2539,1.3565,0
379885.0,108541.0,543808.0,12.1,48,0,0.2857,1.4315,0
800000.0,185434.0,140480.0,0.6,6,3,0.2318,0.1756,0
788424.0,183864.0,930076.0,2.7,12,1,0.2332,1.1797,0
781880.0,132709.0,439182.0,0.5,60,0,0.1697,0.5617,0
800000.0,393210.0,277574.0,4.0,60,1,0.4915,0.347,0
448966.0,149038.0,1146144.0,15.8,24,1,0.332,2.5529,0
713093.0,244379.0,381089.0,5.1,36,3,0.3427,0.5344,0
356045.0,168483.0,595287.0,2.4,60,2,0.4732,1.6719,0
555107.0,32100.0,1758313.0,2.0,18,0,0.0578,3.1675,0
403891.0,135014.0,313160.0,5.4,12,0,0.3343,0.7754,0
473495.0,239383.0,290815.0,8.2,6,1,0.5056,0.6142,0
671057.0,73325.0,857335.0,13.6,12,0,0.1093,1.2776,0
249508.0,118859.0,1453802.0,1.5,24,3,0.4764,5.8267,1
800000.0,268122.0,283621.0,14.1,12,1,0.3352,0.3545,0
218773.0,68106.0,931558.0,0.5,24,1,0.3113,4.2581,1
189107.0,59692.0,1033643.0,0.9,48,1,0.3157,5.4659,0
800000.0,107407.0,212034.0,0.5,18,2,0.1343,0.265,0
770014.0,32812.0,1177732.0,1.0,18,2,0.0426,1.5295,0
684801.0,301483.0,1234237.0,4.4,24,3,0.4402,1.8023,0
686830.0,82140.0,604967.0,5.8,36,2,0.1196,0.8808,0
438637.0,87762.0,1546350.0,4.5,18,3,0.2001,3.5254,0
236079.0,165440.0,1442478.0,3.0,36,2,0.7008,6.1102,1
466523.0,131446.0,775971.0,2.2,24,0,0.2818,1.6633,0
275402.0,96188.0,556339.0,3.7,48,0,0.3493,2.0201,0
800000.0,146789.0,406892.0,1.5,24,4,0.1835,0.5086,0
399137.0,200493.0,713161.0,5.5,48,4,0.5023,1.7868,0
248240.0,15503.0,1026695.0,3.4,60,2,0.0625,4.1359,0
353285.0,153836.0,600486.0,3.6,18,2,0.4354,1.6997,0
590693.0,54381.0,195145.0,2.3,36,0,0.0921,0.3304,0
298162.0,186576.0,1561611.0,6.5,24,1,0.6258,5.2375,0
248810.0,93803.0,817604.0,0.9,60,4,0.377,3.2861,0
524700.0,66727.0,580837.0,1.4,18,3,0.1272,1.107,0
525170.0,144082.0,1219919.0,4.5,60,1,0.2744,2.3229,0
310252.0,118692.0,1820794.0,2.0,48,1,0.3826,5.8688,0
318148.0,56770.0,135788.0,6.6,24,1,0.1784,0.4268,0
520443.0,112567.0,946530.0,1.3,60,1,0.2163,1.8187,0
160547.0,83641.0,309902.0,1.4,60,1,0.521,1.9303,1
165177.0,46097.0,984084.0,6.6,48,2,0.2791,5.9577,0
267557.0,129762.0,787608.0,1.9,12,0,0.485,2.9437,0
381012.0,132635.0,1068147.0,2.2,48,3,0.3481,2.8034,0
549979.0,207726.0,540609.0,1.2,12,2,0.3777,0.983,0
800000.0,364214.0,237057.0,1.0,18,3,0.4553,0.2963,0
800000.0,451709.0,556699.0,3.2,24,3,0.5646,0.6959,0
395554.0,53501.0,931088.0,0.5,60,2,0.1353,2.3539,0
436563.0,182879.0,1341415.0,6.3,18,3,0.4189,3.0727,0
219307.0,137664.0,361097.0,4.5,6,1,0.6277,1.6465,0
436717.0,184865.0,1350839.0,0.6,48,4,0.4233,3.0932,1
361472.0,117220.0,494487.0,3.6,18,0,0.3243,1.368,0
554545.0,290433.0,906612.0,2.8,18,4,0.5237,1.6349,0
247939.0,169681.0,537167.0,0.6,60,0,0.6844,2.1665,1
636375.0,228627.0,813664.0,1.0,12,0,0.3593,1.2786,0
800000.0,315169.0,1245598.0,1.6,48,1,0.394,1.557,0
409982.0,155791.0,349337.0,3.6,12,2,0.38,0.8521,0
586072.0,49332.0,485074.0,3.1,24,0,0.0842,0.8277,0
717193.0,313576.0,815028.0,2.3,18,2,0.4372,1.1364,0
334083.0,31440.0,3081571.0,4.4,48,3,0.0941,9.224,0
517552.0,206121.0,434559.0,4.3,18,0,0.3983,0.8396,0
446330.0,34660.0,2480772.0,2.9,24,2,0.0777,5.5582,0
473721.0,60737.0,2428183.0,4.6,36,1,0.1282,5.1258,0
257530.0,55176.0,688048.0,1.2,24,1,0.2143,2.6717,0
450069.0,85427.0,609935.0,6.4,12,2,0.1898,1.3552,0
626935.0,281839.0,481548.0,2.9,12,1,0.4495,0.7681,0
800000.0,187267.0,700170.0,5.2,18,4,0.2341,0.8752,0
800000.0,80380.0,313630.0,2.4,12,2,0.1005,0.392,0
800000.0,140233.0,696802.0,0.7,48,3,0.1753,0.871,0
258553.0,80463.0,1790720.0,2.3,24,2,0.3112,6.9259,0
800000.0,245807.0,505523.0,1.4,18,3,0.3073,0.6319,0
502997.0,159063.0,631318.0,3.6,24,0,0.3162,1.2551,0
800000.0,359458.0,262844.0,1.9,24,0,0.4493,0.3286,0
251247.0,125438.0,912951.0,5.4,18,1,0.4993,3.6337,0
245781.0,93331.0,854857.0,3.4,60,3,0.3797,3.4781,0
290810.0,75260.0,757835.0,3.5,36,0,0.2588,2.6059,0
100035.0,21728.0,640436.0,0.7,60,4,0.2172,6.4021,1
306193.0,194043.0,611913.0,12.5,12,0,0.6337,1.9985,0
260044.0,78643.0,985732.0,5.5,6,0,0.3024,3.7906,0
491529.0,173629.0,716913.0,4.7,60,0,0.3532,1.4585,0
561984.0,110154.0,881150.0,1.2,6,2,0.196,1.5679,0
800000.0,155683.0,829841.0,2.3,6,4,0.1946,1.0373,0
800000.0,96133.0,1431247.0,0.5,12,0,0.1202,1.7891,0
295424.0,85134.0,1094925.0,2.3,36,2,0.2882,3.7063,0
235887.0,45883.0,818900.0,0.5,24,0,0.1945,3.4716,0
624273.0,138527.0,1814015.0,2.4,18,2,0.2219,2.9058,0
175578.0,86462.0,938615.0,3.1,36,0,0.4924,5.3459,1
800000.0,68053.0,1595947.0,1.5,6,1,0.0851,1.9949,0
800000.0,136628.0,1049858.0,2.1,48,2,0.1708,1.3123,0
318563.0,104339.0,241554.0,6.3,12,2,0.3275,0.7583,0
